Headword,Definitions,Part of Speech,Semantic Group,Frequency Rank
frangō frangere frēgī frāctum,"break, shatter",Verb: 3rd Conjugation -ō,Violence,345
cīvitās -ātis f.,"citizenship, state",Noun: 3rd Declension,The City,346
nōscō nōscere nōvī nōtum,"learn, know",Verb: 3rd Conjugation -ō,Education/Knowledge,347
proelium -ī n.,battle,Noun: 2nd Declension,War and Peace,348
ēripiō -ripere -ripuī -reptum,"snatch away, rescue, save",Verb: 3rd Conjugation -iō,Verbs of Transport,349
mundus -ī m.,"world, universe, heavens",Noun: 2nd Declension,Earth and Water,350
cursus -ūs m.,"course, advance",Noun: 4th Declension,Athletics,351
vix,scarcely,Adverb,Conjunctions/Adverbs,352
nāvis -is f.,ship,Noun: 3rd Declension,Travel,353
lacrima -ae f.,tear,Noun: 1st Declension,Emotions,354
hūmānus -a -um,human,Adjective: 1st and 2nd Declension,People,355
mollis -e,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses,356
maneō manēre mānsī mānsum,remain,Verb: 2nd Conjugation,Travel,357
āgmen -minis n.,line of march,Noun: 3rd Declension,War and Peace,358
sīdus -eris n.,"star, constellation",Noun: 3rd Declension,Air and Fire,359
glōria -ae f.,"glory, fame",Noun: 1st Declension,Social Life,360
diū:,for a long time,Adverb,Time,361
sīve,whether; sīve ... sīve: whether ... or → seu,Conjunction,Conjunctions/Adverbs,362
tamquam,"so as, just as",Adverb,Conjunctions/Adverbs,363
fuga -ae f.,"flight, route",Noun: 1st Declension,Travel,364
tūtus -a -um,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace,365
auris -is f.,ear,Noun: 3rd Declension,The Body,366
aliēnus -a -um,"foreign, strange",Adjective: 1st and 2nd Declension,Geography,367
hūc,to this place,Adverb,Place,368
taceō -ēre -uī -itum,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses,369
legiō -ōnis f.,legion,Noun: 3rd Declension,War and Peace,370
ostendō ostendere ostendī ostentum,"show, hold out",Verb: 3rd Conjugation -ō,Other Senses,371
socius -a -um,"friendly, allied; socius -ī m.: partner, comrade",Adjective: 1st and 2nd Declension,Social Life,372
prōsum prodesse profuī,"be of use, do good, help (+ dat.)",Verb: Irregular,Social Life,373
āra -ae f.,altar,Noun: 1st Declension,Religion,374
lūmen luminis n.,light,Noun: 3rd Declension,Vision,375
tegō tegere tēxī tēctum,"cover, conceal",Verb: 3rd Conjugation -ō,Deception,376
turpis -e,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,Other Senses,377
voluptās -ātis f.,"pleasure, enjoyment",Noun: 3rd Declension,Social Life,378
adhūc,"thus far, to this point",Adverb,Place,379
grātia -ae f.,"favor, influence, gratitude",Noun: 1st Declension,Social Life,380
iniūria -ae f.:,"injustice, wrong, affront",Noun: 1st Declension,Justice,381
latus -eris n.,"side, flank",Noun: 3rd Declension,The Body,382
dulcis -e,sweet,Adjective: 3rd Declension,Other Senses,383
postquam,after,Conjunction,Time,384
extrēmus -a -um,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,Geography,385
tēctum -ī n.,"roof; building, house",Noun: 2nd Declension,The House,386
ingenium -ī n.,"disposition, ability, talent",Noun: 2nd Declension,Education/Knowledge,387
pāx pācis f.,peace,Noun: 3rd Declension,War and Peace,388
canō canere cecinī cantum,sing,Verb: 3rd Conjugation -ō,Writing/Poetry,389
iuvō iuvāre iūvī iūtum,"help, assist; please, delight",Verb: 1st Conjugation,Social Life,390
campus -ī m.,"plain, field",Noun: 2nd Declension,Earth and Water,391
claudō claudere clausī clausum,"close, shut",Verb: 3rd Conjugation -ō,The House,392
doceō -ēre -uī doctum,teach,Verb: 2nd Conjugation,Education/Knowledge,393
excipiō -cipere -cēpī -ceptum,take out,Verb: 3rd Conjugation -iō,Verbs of Transport,394
clārus -a -um,"clear, distinguished",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395
illīc,"at that place, there; illinc: from that place",Adverb,Place,396
procul,at a distance,Adverb,Place,397
sacer sacra sacrum,"holy, sacred",Adjective: 1st and 2nd Declension,Religion,398
mora -ae f.,"delay, hindrance",Noun: 1st Declension,Time,399
longē,"far, far off",Adverb,Measurement,400
super,over (adv. and prep. +acc.),Adverb,Place,401
errō -āre,"go astray, wander",Verb: 1st Conjugation,Travel,402
sēdēs -is f.,"seat, abode, habitation",Noun: 3rd Declension,The House,403
cūr,why?,Adverb,Pronouns/Interrogatives,404
coma -ae f.,"hair, tresses",Noun: 1st Declension,The Body,405
aiō,"say, affirm, say yes; ut āiunt: as they say",Verb: Irregular,Speech/Oratory,406
gaudeō gaudēre gāvīsus sum,rejoice,Verb: 2nd Conjugation,Emotions,407
beātus -a -um,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408
perveniō -venīre -vēnī -ventum,"arrive, reach",Verb: 4th Conjugation,Travel,409
vērus -a -um,true,Adjective: 1st and 2nd Declension,Speech/Oratory,410
incipiō -cipere -cēpī -ceptum,begin,Verb: 3rd Conjugation -iō,Time,411
parcō parcere pepercī parsum,"spare, be sparing of (+ dat.)",Verb: 3rd Conjugation -ō,War and Peace,412
vestis -is f.,"garment, robe, clothing",Noun: 3rd Declension,Life and Being,413
similis -e,"like, similar",Adjective: 3rd Declension,Personality Traits/Characteristics,414
caedēs -is f.,"killing, slaughter",Noun: 3rd Declension,Violence,415
ōrdō -īnis m.,"order, rank",Noun: 3rd Declension,War and Peace,416
optō -āre,"choose, select",Verb: 1st Conjugation,Personality Traits/Characteristics,417
virgō -inis f.,"maiden, virgin, girl",Noun: 3rd Declension,People,418
legō legere lēgī lēctum,"gather, choose, read",Verb: 3rd Conjugation -ō,Writing/Poetry,419
aura -ae f.,breeze,Noun: 1st Declension,Air and Fire,420
impetus -ūs m.,attack,Noun: 4th Declension,Violence,421
fōrma -ae f.,shape; beauty,Noun: 1st Declension,Other Senses,422
praestō -stāre -stitī -stitum,"excel, exhibit",Verb: 1st Conjugation,Other Senses,423
aequor aequoris n.,"level surface, sea, plain",Noun: 3rd Declension,Earth and Water,424
misceō miscēre miscuī mixtum,mix,Verb: 2nd Conjugation,Earth and Water,425
spatium -ī n.,space,Noun: 2nd Declension,Air and Fire,426
tandem,finally,Adverb,Conjunctions/Adverbs,427
īnferus -a -um,low; īnferior: lower; īnfimus or īmus: lowest,Adjective: 1st and 2nd Declension,Geography,428
metuō metuere metuī,"to fear, to dread",Verb: 3rd Conjugation -ō,Emotions,429
temptō -āre,"try, test",Verb: 1st Conjugation,Making/Doing,430
trānseō -īre -iī -itum,go across,Verb: Irregular,Travel,431
ultimus -a -um,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,Geography,432
addō -dere -didī -ditum,give to,Verb: 3rd Conjugation -ō,Social Life,433
grātus -a -um,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434
laudō -āre,praise,Verb: 1st Conjugation,Social Life,435
nōndum,not yet,Adverb,Conjunctions/Adverbs,436
impōnō -ere -posuī -positum,"put in, put on, impose, levy upon",Verb: 3rd Conjugation -ō,Measurement,437
somnus -ī m.,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,Life and Being,438
aciēs -ēī f.,edge; line of battle,Noun: 5th Declension,War and Peace,439
rūrsus,"back, again",Adverb,Place,440
cupiō -ere -īvī -ītum,desire,Verb: 3rd Conjugation -iō,Love,441
exspectō -āre,"watch, wait, expect",Verb: 1st Conjugation,Vision,442
compōnō -pōnere posuī positum,"build, construct, arrange",Verb: 3rd Conjugation -ō,Making/Doing,443
laus laudis f.,"praise, glory",Noun: 3rd Declension,Social Life,444
absum abesse āfuī,"be away, absent",Verb: Irregular,Travel,445
ūsus -ūs m.,"use, experience",Noun: 4th Declension,Education/Knowledge,446
velut,"even as, just as",Adverb,Conjunctions/Adverbs,447
comes comitis m./f.,"companion, comrade; attendant, follower",Noun: 3rd Declension,Social Life,448
ob,"against, on account of (+acc)",Preposition,Place,449
studium -ī n.,"eagerness, zeal",Noun: 2nd Declension,Emotions,450
facilis -e,easy,Adjective: 3rd Declension,Personality Traits/Characteristics,451
nūmen -inis n.,"divine will, deity",Noun: 3rd Declension,Religion,452
sapiēns -ntis,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,Education/Knowledge,453
sūmō sūmere sūmpsī sūmptum,take up,Verb: 3rd Conjugation -ō,Motion,454
nōbilis -e,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,Personality Traits/Characteristics,455
quīn,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",Adverb,Conjunctions/Adverbs,456
fleō flēre flēvī flētum,weep,Verb: 2nd Conjugation,Emotions,457
nōlō nōlle nōluī,be unwilling,Verb: Irregular,Emotions,458
plēnus -a -um,full,Adjective: 1st and 2nd Declension,Measurement,459
adversus (-um),"(adv. and prep.) facing, opposite, against, opposed (to)",Adverb,War and Peace,460
nemus nemoris n.,"grove, forest",Noun: 3rd Declension,Animals/Plants,461
cārus -a -um,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462
dēsum -esse -fuī,be lacking,Verb: Irregular,Business/Money,463
lēgātus -ī m.,"lieutenant, envoy",Noun: 2nd Declension,War and Peace,464
discō -ere didicī,learn,Verb: 3rd Conjugation -ō,Education/Knowledge,465
furor -ōris m.,"rage, fury",Noun: 3rd Declension,Emotions,466
amnis -is m.,"river, torrent",Noun: 3rd Declension,Earth and Water,467
arbor arboris f.,tree,Noun: 3rd Declension,Animals/Plants,468
mox,soon,Adverb,Time,469
eō,"(adv.) there, to that place",Adverb,Place,470
cīvis -is m./f.,citizen,Noun: 3rd Declension,The City,471
occupō -āre,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,War and Peace,472
spectō -āre,"look at, consider",Verb: 1st Conjugation,Vision,473
tergum -ī n.,"back, rear; ā tergō: from the rear",Noun: 2nd Declension,The Body,474
crīmen -inis n.,"verdict, accusation",Noun: 3rd Declension,Justice,475
dōnum -ī n.,"gift, present",Noun: 2nd Declension,Social Life,476
nōtus -a -um,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477
sinus -ūs m.,"fold of a garment; lap, bay, gulf",Noun: 4th Declension,Earth and Water,478
faciēs -ēī f.,"form, appearance",Noun: 5th Declension,Vision,479
rumpō rumpere rūpī ruptum,"break, rupture",Verb: 3rd Conjugation -ō,Violence,480
membrum -ī n.,"limb, member of the body",Noun: 2nd Declension,The Body,481
umquam,ever,Adverb,Time,482
aspiciō -ere -spēxī -spectum,"look to or at, behold",Verb: 3rd Conjugation -iō,Vision,483
prius or priusquam,before,Adverb,Time,484
templum -ī n.,consecrated ground; temple,Noun: 2nd Declension,Religion,485
āmittō -mittere -mīsī -missum,"let go, send away",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,486
pōscō pōscere popōscī,"demand, claim; inquire into",Verb: 3rd Conjugation -ō,Speech/Oratory,487
perdō -dere -didī -ditum,destroy,Verb: 3rd Conjugation -ō,Violence,488
quamvīs,however you like; although,Adverb,Conjunctions/Adverbs,489
tener -era -erum,tender,Adjective: 1st and 2nd Declension,Other Senses,490
currus -ūs m.,chariot,Noun: 4th Declension,Athletics,491
precor -ārī,"pray, invoke",Verb: Deponent,Religion,492
anima -ae f.,"breath, spirit",Noun: 1st Declension,Life and Being,493
contingō -tingere -tigī -tactum,"touch, be contiguous to",Verb: 3rd Conjugation -ō,Place,494
lībertās -ātis f.,freedom,Noun: 3rd Declension,The City,495
servus -ī m.,slave,Noun: 2nd Declension,The Household,496
soror -ōris f.,sister,Noun: 3rd Declension,The Household,497
fluctus -ūs m,"flood, billow, surf",Noun: 4th Declension,Earth and Water,498
quīppe,"(adv.) indeed, surely",Adverb,Conjunctions/Adverbs,499
exigō -igere -ēgī -āctum,drive out; collect,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,500
fēmina -ae f.,woman,Noun: 1st Declension,People,501
nimius -a -um,"too much, excessive",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502
fallō fallere fefellī falsum,deceive,Verb: 3rd Conjugation -ō,Deception,503
mīror mīrārī mīrātus sum,"wonder at, marvel at (+ acc.)",Verb: Deponent,Emotions,504
classis -is f.,"class, division, fleet",Noun: 3rd Declension,War and Peace,505
sedeō sedēre sēdī sessum,sit,Verb: 2nd Conjugation,The House,506
singulī -ae -a,one each,Adjective: 1st and 2nd Declension,Measurement,507
mūrus -ī m.,wall,Noun: 2nd Declension,The House,508
noceō nocēre nocuī,harm,Verb: 2nd Conjugation,Violence,509
quoniam,"since, seeing that",Conjunction,Conjunctions/Adverbs,510
fax facis f.,torch,Noun: 3rd Declension,Air and Fire,511
intellegō -legere -lēxī -lēctum:,understand,Verb: 3rd Conjugation -ō,Education/Knowledge,512
iungō iungere iūnxī iūnctum,join,Verb: 3rd Conjugation -ō,Making/Doing,513
afferō afferre attulī allātum,bring to,Verb: Irregular,Verbs of Transport,514
cōgitō -āre,"think, reflect",Verb: 1st Conjugation,Education/Knowledge,515
līmen līminis n.,threshold,Noun: 3rd Declension,The House,516
pūblicus -a -um,"public, belonging to the state",Adjective: 1st and 2nd Declension,The City,517
queror querī questus sum,"complain of, lament",Verb: Deponent,Emotions,518
exemplum -ī n.,"example, sample, copy",Noun: 2nd Declension,Speech/Oratory,519
prex precis f.,"prayers, entreaties",Noun: 3rd Declension,Religion,520
dubitō -āre,"hesitate, doubt",Verb: 1st Conjugation,Education/Knowledge,521
odium -ī n.,hatred,Noun: 2nd Declension,Emotions,522
fundō fundere fūdī fūsum,"pour, scatter",Verb: 3rd Conjugation -ō,Earth and Water,523
fūnus fūneris n.,funeral; death; dead body,Noun: 3rd Declension,Religion,524
nesciō -scīre,"not know, be ignorant",Verb: 4th Conjugation,Education/Knowledge,525
prior prius,"earlier, preceding",Adjective: 3rd Declension,Time,526
ūsque,up to; continuously,Adverb,Time,527
dubius -a -um,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",Adjective: 1st and 2nd Declension,Deception,528
tendō tendere tetendī tentum,"stretch, extend, direct (one’s steps or course)",Verb: 3rd Conjugation -ō,Travel,529
pecūnia -ae f.,money,Noun: 1st Declension,Business/Money,530
quemadmodum,"in what manner, how",Adverb,Pronouns/Interrogatives,531
spargō spargere sparsī sparsum,scatter,Verb: 3rd Conjugation -ō,Earth and Water,532
trēs tria,three,Adjective: Numeral,Measurement,533
tangō tangere tetigī tāctum,touch,Verb: 3rd Conjugation -ō,Other Senses,534
respondeō -spondēre -spondī -spōnsum,answer,Verb: 2nd Conjugation,Speech/Oratory,535
timor -ōris m.,fear,Noun: 3rd Declension,Emotions,536
properō -āre,"hasten, speed",Verb: 1st Conjugation,Motion,537
subeō -īre -iī -itum,go under; endure,Verb: Irregular,Motion,538
valeō valēre valuī,"be strong, excel, be valid, prevail; valē: farewell!",Verb: 2nd Conjugation,Social Life,539
condō -dere -didī -ditum,"build, found; store up; hide, conceal",Verb: 3rd Conjugation -ō,The City,540
nefās n. indecl.,"impiety, wickedness",Noun: Indeclinable,Justice,541
quondam,"formerly, once",Adverb,Time,542
auxilium -ī n.,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,War and Peace,543
dēserō -ere dēseruī dēsertum,"leave, desert, abandon",Verb: 3rd Conjugation -ō,Motion,544
nūdus -a -um,"naked, bare",Adjective: 1st and 2nd Declension,The Body,545
auctor -ōris m.,"originator, founder",Noun: 3rd Declension,Writing/Poetry,546
animal -ālis n.,"a living being, an animal",Noun: 3rd Declension,Animals/Plants,547
decus decoris n.,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,Personality Traits/Characteristics,548
salūs -ūtis f.,"health, safety",Noun: 3rd Declension,Life and Being,549
pateō patēre patuī,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,Geography,550
rogō -āre,ask,Verb: 1st Conjugation,Speech/Oratory,551
uxor uxōris f.,wife,Noun: 3rd Declension,The Household,552
abeō -īre -iī -itum,go away,Verb: Irregular,Motion,553
regō regere rēxī rēctum,"guide, rule",Verb: 3rd Conjugation -ō,The City,554
adeō,"(adv.) to such a degree, so",Adverb,Conjunctions/Adverbs,555
auferō auferre abstulī ablātum,take away,Verb: Irregular,Verbs of Transport,556
quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,Pronouns/Interrogatives,557
senex -is m.,"old man, elder; senior, older",Noun: 3rd Declension,People,558
frōns frontis f.,"forehead, brow; front",Noun: 3rd Declension,The Body,559
propter,because of (+ acc.),Preposition,Non-Directional Prepositions,560
rēgius -a -um,"kingly, royal",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561
currō currere cucurrī cursum,run,Verb: 3rd Conjugation -ō,Athletics,562
pellō pellere pepulī pulsum,"strike, beat, push, drive",Verb: 3rd Conjugation -ō,Violence,563
dīves dīvitis,"rich (poet. dīs, dītis)",Adjective: 3rd Declension,Business/Money,564
iūdicō -āre,"judge, decide",Verb: 1st Conjugation,Justice,565
pecus -oris n.,"cattle, sheep",Noun: 3rd Declension,Animals/Plants,566
potēns potentis,"able, powerful",Adjective: 3rd Declension,Personality Traits/Characteristics,567
scrībō scrībere scrīpsī scrīptum,write,Verb: 3rd Conjugation -ō,Writing/Poetry,568
pulcher -chra -chrum,beautiful,Adjective: 1st and 2nd Declension,Vision,569
surgō surgere surrēxī surrēctum,rise,Verb: 3rd Conjugation -ō,Earth and Water,570
cēterum,"for the rest, in addition, however that may be",Adverb,Pronouns/Interrogatives,571
careō -ēre -uī,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572
efficiō -ficere -fēcī -fectum,"bring about, complete; render (+ ut + subj.)",Verb: 3rd Conjugation -iō,Making/Doing,573
ōlim,"formerly, at that time",Adverb,Time,574
sermō -ōnis m.,"conversation, discourse",Noun: 3rd Declension,Speech/Oratory,575
exerceō -ercēre -ercuī -ercitum,"train, exercise, carry on",Verb: 2nd Conjugation,Athletics,576
gradus -ūs m.,"step, pace; grade, rank",Noun: 4th Declension,War and Peace,577
agitō -āre,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing,578
fortē,by chance,Adverb,Religion,579
honestus -a -um,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580
moror morārī morātus sum,delay,Verb: Deponent,Time,581
praesidium -ī n.,"garrison, protection",Noun: 2nd Declension,War and Peace,582
sonō sonāre sonuī sonitum,"sound, resound",Verb: 1st Conjugation,Other Senses,583
praebeō -ēre -uī -itum,"furnish, supply, render",Verb: 2nd Conjugation,Verbs of Transport,584
regiō -ōnis f.,"boundary, region",Noun: 3rd Declension,Geography,585
sententia -ae f.,"opinion, judgment",Noun: 1st Declension,Education/Knowledge,586
ācer ācris ācre,"sharp, piercing",Adjective: 3rd Declension,Other Senses,587
suprā,"above, beyond (adv. and prep. +acc.)",Preposition,Place,588
brevis -e,"short, shallow, brief",Adjective: 3rd Declension,Measurement,589
citus -a -um,swift; citō swiftly,Adjective: 1st and 2nd Declension,Time,590
cornu -ūs n.,horn,Noun: 4th Declension,Animals/Plants,591
ingrātus -a -um:,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592
moenia -ium n. pl.,"walls, fortifications",Noun: 3rd Declension,The City,593
vinculum -ī n.,"bond, fetter, tie",Noun: 2nd Declension,War and Peace,594
adeō -īre -iī -itum,go to,Verb: Irregular,Motion,595
cēterus -a -um,"the other, the others, the rest",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596
exeō -īre -iī -itum,go forth,Verb: Irregular,Motion,597
mālō mālle māluī,prefer,Verb: Irregular,Emotions,598
speciēs -ēī f.,"aspect, appearance",Noun: 5th Declension,Vision,599
ultrā,"beyond, further (adv. and prep. + acc.)",Preposition,Place,600
certē,"certainly, surely",Adverb,Measurement,601
imperō -āre,"command, control",Verb: 1st Conjugation,War and Peace,602
male,(adv.) badly,Adverb,Personality Traits/Characteristics,603
prohibeō -ēre -uī -itum,"restrain, keep away",Verb: 2nd Conjugation,Verbs of Compelling/Directing,604
clāmor -ōris m.,"outcry, shout",Noun: 3rd Declension,Speech/Oratory,605
dōnō -āre,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life,606
officium -ī n.,"service, duty",Noun: 2nd Declension,The City,607
committō -mittere -mīsī -missum,"join, entrust to (+ dat.); perform, do",Verb: 3rd Conjugation -ō,Social Life,608
crēscō crēscere crēvī crētum,"grow, increase",Verb: 3rd Conjugation -ō,Animals/Plants,609
aequus -a -um,equal,Adjective: 1st and 2nd Declension,Justice,610
factum -ī n.,"deed, accomplishment",Noun: 2nd Declension,Making/Doing,611
caedō caedere cecīdī caesum,"strike, kill, cut down",Verb: 3rd Conjugation -ō,Violence,612
exīstimō -āre,"think, believe",Verb: 1st Conjugation,Education/Knowledge,613
accēdō -cēdere -cessī -cessum,approach,Verb: 3rd Conjugation -ō,Motion,614
contemnō -temnere -tempsī -temptum,"despise, scorn, disdain",Verb: 3rd Conjugation -ō,Emotions,615
pudor pudōris m.,"sense of shame, modesty, propriety",Noun: 3rd Declension,Personality Traits/Characteristics,616
antīquus -a -um,"ancient, old-time, former",Adjective: 1st and 2nd Declension,Lengths of Time,617
ārdeō ārdēre ārsī ārsum,"blaze, glow; be eager",Verb: 2nd Conjugation,Air and Fire,618
ibi,there,Adverb,Place,619
prōvincia -ae f.,province; official duty,Noun: 1st Declension,The City,620
quandō,when?; since; sī quandō: if ever,Adverb,Pronouns/Interrogatives,621
custōs custōdis m.,guardian,Noun: 3rd Declension,The Household,622
supersum -esse -fuī,"remain, survive; be superfluous (to)",Verb: Irregular,Place,623
dēsinō -sinere -siī -situm,"leave off, cease",Verb: 3rd Conjugation -ō,Motion,624
fessus -a -um,"weary, tired",Adjective: 1st and 2nd Declension,Life and Being,625
praeda -ae f.,"booty, prey",Noun: 1st Declension,War and Peace,626
memoria -ae f.,"recollection, memory",Noun: 1st Declension,Education/Knowledge,627
dīvidō -ere dīvīsī dīvīsum,"divide, separate",Verb: 3rd Conjugation -ō,Making/Doing,628
pretium -ī n.,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,Business/Money,629
pontus -ī m.,"the open sea, the deep",Noun: 2nd Declension,Earth and Water,630
varius -a -um,"changing, varied, various",Adjective: 1st and 2nd Declension,Other Senses,631
vehō vehere vēxī vectum,"carry; vehor vehī vectus sum: travel, ride",Verb: 3rd Conjugation -ō,Travel,632
falsus -a -um,"deceptive, false",Adjective: 1st and 2nd Declension,Deception,633
niger nigra nigrum,black,Adjective: 1st and 2nd Declension,Vision,634
oppidum -ī n.,town,Noun: 2nd Declension,The City,635
pondus ponderis n.,weight,Noun: 3rd Declension,Measurement,636
arvum -ī n.,"ploughed land, field",Noun: 2nd Declension,Animals/Plants,637
arx arcis f.,"citadel, castle; summit",Noun: 3rd Declension,The City,638
sors sortis f.,"lot, fate, destiny; oracle",Noun: 3rd Declension,Religion,639
vīnum -ī n.,"vine, wine",Noun: 2nd Declension,Animals/Plants,640
dīversus -a -um,"different, diverse",Adjective: 1st and 2nd Declension,Other Senses,641
orior orīrī ortus sum,"arise, begin",Verb: Deponent,Time,642
ecce,behold!,Adverb,Vision,643
quamquam,"however, although",Conjunction,Conjunctions/Adverbs,644
cōnferō cōnferre contulī collātum,"collect, bring to",Verb: Irregular,Verbs of Transport,645
facinus facinoris n.,"deed, crime",Noun: 3rd Declension,Justice,646
retineō -tinēre -tinuī -tentum,"hold back, keep",Verb: 2nd Conjugation,Verbs of Compelling/Directing,647
spērō -āre,to hope,Verb: 1st Conjugation,Emotions,648
plēbs plēbis f.,the common people,Noun: 3rd Declension,The City,649
pūgna -ae f.,fist-fight; battle,Noun: 1st Declension,Violence,650
repetō -petere -petīvī -petītum,"demand, exact; revisit; call to mind, recollect; repeat",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,651
cōnstituō -stituere -stituī -stitūtum,"establish, put together",Verb: 3rd Conjugation -ō,Making/Doing,652
dēfendō -fendere -fendī -fēnsum,"defend, ward off",Verb: 3rd Conjugation -ō,War and Peace,653
marītus -ī m.,husband,Noun: 2nd Declension,The Household,654
cernō cernere crēvī crētum,"discern, separate",Verb: 3rd Conjugation -ō,Education/Knowledge,655
superbus -a -um,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656
adversus -a -um,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,War and Peace,657
morbus -ī m.,"sickness, disease",Noun: 2nd Declension,The Body,658
sānctus -a -um,"sacred, inviolable",Adjective: 1st and 2nd Declension,Religion,659
commūnis -e,"common, general",Adjective: 3rd Declension,The City,660
dēdūcō -dūcere -dūxī -ductum,"launch, lead away",Verb: 3rd Conjugation -ō,Travel,661
rīpa -ae f.,bank of a river,Noun: 1st Declension,Earth and Water,662
concēdō -cēdere -cessī -cessum,"yield, withdraw",Verb: 3rd Conjugation -ō,War and Peace,663
hōra -ae f.,hour,Noun: 1st Declension,Lengths of Time,664
vetō -āre vetuī vetītum,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing,665
cohors cohortis f.,"cohort, band, troop",Noun: 3rd Declension,War and Peace,666
gīgnō gīgnere genuī genitum,"beget, bear, bring forth",Verb: 3rd Conjugation -ō,Life and Being,667
superō -āre,"overcome, surpass, defeat",Verb: 1st Conjugation,War and Peace,668
maestus -a -um,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions,669
meminī meminisse,"remember, recollect",Verb: Irregular,Education/Knowledge,670
impleō -ēre -plēvī -plētum,"fill in, fill up",Verb: 2nd Conjugation,Earth and Water,671
māgnitūdō -inis f.,"greatness, size",Noun: 3rd Declension,Measurement,672
vacuus -a -um,empty,Adjective: 1st and 2nd Declension,Measurement,673
vagus -a -um,"wandering, shifting",Adjective: 1st and 2nd Declension,Travel,674
